season,player_900_plus_mins,team,possession,total_stdev,overall_rank,minutes_played,xg,penalties_taken,non_pkxg,non_pkxg_p90,non_penalty_goals_p90,shots_per_90,shots_on_target_pct,shooting_impact,goal_conversion_pct,goal_threat_stdev,goal_threat_rank,offensive_duels_per_90,offensive_duels_won_pct,offensive_duel_impact,touches_in_box_per_90,key_passes_per_90,passes_to_penalty_area_per_90,accurate_passes_to_penalty_area_pct,penalty_box_passes_impact,xa_per_90,link_play_stdev,link_play_rank
2022.0,A. Hoppenot,Detroit City,47.25,14.46786494,0.986,2733.0,6.55,0.0,6.55,0.337,0.415,0.213,0.167,0.128,0.5,-1.908233504,0.298,0.809,0.848,0.911,0.947,1.0,0.993,0.372,0.965,0.996,12.76418203,1.0
2022.0,P. Botello Faz,Detroit City,47.25,4.035890314,0.713,2296.0,7.46,0.0,7.46,0.546,0.606,0.142,0.592,0.337,0.865,0.9164694662,0.599,0.77,0.383,0.582,0.848,0.504,0.61,0.66,0.667,0.493,1.336407417,0.691
2022.0,F. Atuahene,Detroit City,47.25,-1.349547958,0.415,858.0,3.76,0.0,3.76,0.851,0.362,0.996,0.121,0.564,0.085,-0.5892088436,0.422,0.982,0.248,0.642,0.979,0.06,0.34,0.0,0.014,0.0,-3.385005812,0.152
2023.0,T. Bagley,Las Vegas Lights,47.21,-7.598806671,0.103,2525.0,4.21,0.0,4.21,0.128,0.206,0.156,0.355,0.213,0.252,-3.388573394,0.163,0.021,0.642,0.163,0.043,0.191,0.823,0.156,0.582,0.567,-2.631389115,0.238
2023.0,P. Botello Faz,Las Vegas Lights,47.21,-8.977680841,0.064,1294.0,6.58,1.0,5.84,0.876,0.387,0.489,0.23,0.273,0.511,0.2281728491,0.521,0.628,0.035,0.099,0.61,0.131,0.067,0.762,0.174,0.089,-3.646017833,0.113
2023.0,J. Dolling,Las Vegas Lights,47.21,-11.21009435,0.021,1280.0,1.63,0.0,1.63,0.06,0.0,0.021,0.422,0.06,0.0,-7.052125905,0.014,0.326,0.0,0.025,0.209,0.957,0.401,0.989,0.812,0.78,2.411697391,0.777
2024.0,R. Serrano,Louisville City,47.14,10.72919822,0.947,2750.0,8.69,0.0,8.69,0.521,0.479,0.606,0.355,0.468,0.333,-0.5425366338,0.426,0.245,0.95,0.851,0.241,0.979,0.972,0.798,0.996,0.996,10.14094873,0.996
2024.0,W. Harris,Louisville City,47.14,5.587595127,0.801,2653.0,15.25,2.0,13.77,0.947,0.95,0.947,0.794,0.95,0.833,6.108191738,0.961,0.532,0.465,0.496,0.908,0.638,0.135,0.794,0.273,0.348,-0.4333254407,0.514
2024.0,P. Goodrum,Louisville City,47.14,4.889916441,0.777,2156.0,8.04,2.0,6.56,0.482,0.755,0.752,0.447,0.61,0.532,1.004972882,0.617,0.745,0.766,0.816,0.727,0.745,0.482,0.982,0.851,0.652,1.830753015,0.741
2024.0,S. Gleadle,Louisville City,47.14,4.339304782,0.734,1035.0,4.45,0.0,4.45,0.837,0.479,0.475,0.809,0.755,0.401,1.217668073,0.638,0.401,0.44,0.433,0.869,0.592,0.688,0.344,0.578,0.567,1.084749281,0.67
2025.0,L. Ivanovic,Monterey Bay FC,47.09,-1.230334093,0.422,1599.0,5.35,0.0,5.35,0.574,0.415,0.695,0.691,0.805,0.22,-0.1242546068,0.486,0.379,0.592,0.55,0.457,0.433,0.642,0.521,0.645,0.652,-0.3812341745,0.521
2025.0,I. Paul,Monterey Bay FC,47.09,-1.452915247,0.401,1459.0,3.95,1.0,3.21,0.28,0.301,0.113,0.028,0.039,0.67,-2.645441609,0.223,0.801,0.677,0.787,0.961,0.638,0.27,0.546,0.337,0.805,1.620602875,0.709
